iter	MultiClass
0	2.228180415
1	2.110621367
2	2.024045797
3	1.957313925
4	1.901877071
5	1.8585645
6	1.819492362
7	1.789013736
8	1.761000898
9	1.73877577
10	1.719238111
11	1.70066381
12	1.685261946
13	1.671473389
14	1.659471243
15	1.649198418
16	1.641623902
17	1.633627099
18	1.627593522
19	1.620609893
20	1.614887494
21	1.610272821
22	1.605902505
23	1.602058507
24	1.598696615
25	1.595797282
26	1.593236807
27	1.591015886
28	1.589052952
29	1.58649798
30	1.585051572
31	1.583460841
32	1.581271519
33	1.579024804
34	1.577888849
35	1.576383772
36	1.574844798
37	1.573958303
38	1.573037516
39	1.571395506
40	1.570244974
41	1.569501381
42	1.5683184
43	1.566580496
44	1.565235611
45	1.564454158
46	1.563829448
47	1.563029953
48	1.562470728
49	1.561791084
50	1.56136713
51	1.560574672
52	1.559402316
53	1.559054986
54	1.558590462
55	1.558047694
56	1.557509628
57	1.55667689
58	1.555547476
59	1.555083372
60	1.554474931
61	1.553933964
62	1.553602662
63	1.553351362
64	1.552838332
65	1.552445271
66	1.552204673
67	1.551761487
68	1.551322753
69	1.550857429
70	1.55038058
71	1.549980686
72	1.549257832
73	1.54888469
74	1.548648873
75	1.54834808
76	1.548139372
77	1.547842989
78	1.547127522
79	1.546872017
80	1.546536544
81	1.546156842
82	1.545762644
83	1.545383513
84	1.545368964
85	1.545081038
86	1.544811935
87	1.544643262
88	1.544169106
89	1.543679328
90	1.543357239
91	1.542982117
92	1.542970273
93	1.542766538
94	1.542510199
95	1.54209038
96	1.541550445
97	1.541370902
98	1.540991476
99	1.540772456
100	1.539956437
101	1.539760522
102	1.539568328
103	1.539374567
104	1.5391962
105	1.538920762
106	1.538583302
107	1.53841701
108	1.538160568
109	1.537915758
110	1.537548966
111	1.537362713
112	1.536931529
113	1.536519093
114	1.535805169
115	1.535580345
116	1.535235381
117	1.534800508
118	1.534570376
119	1.534385067
120	1.534150832
121	1.53365523
122	1.533328496
123	1.533251763
124	1.53298773
125	1.53267272
126	1.532467913
127	1.532188967
128	1.531945587
129	1.531695015
130	1.53139579
131	1.531156054
132	1.530719552
133	1.530324041
134	1.530016514
135	1.529669089
136	1.529424291
137	1.529064977
138	1.5288119
139	1.528517284
140	1.528286276
141	1.528057286
142	1.52760105
143	1.527472729
144	1.527250522
145	1.527130253
146	1.526900248
147	1.526562756
148	1.526457901
149	1.526335236
150	1.525982757
151	1.525547224
152	1.52538573
153	1.525169394
154	1.524939981
155	1.524627632
156	1.524548431
157	1.524340427
158	1.524153495
159	1.523995005
160	1.523785995
161	1.523562671
162	1.523352069
163	1.52320051
164	1.52308656
165	1.522895403
166	1.522536082
167	1.522364597
168	1.522183313
169	1.521744355
170	1.521532224
171	1.521424813
172	1.52115118
173	1.520952861
174	1.520520618
175	1.520319876
176	1.520101091
177	1.519927374
178	1.519658327
179	1.519474044
180	1.519319613
181	1.519137713
182	1.519019893
183	1.518840107
184	1.51865266
185	1.51849665
186	1.518371019
187	1.518205555
188	1.518049723
189	1.517941888
190	1.517721051
191	1.517534934
192	1.517310403
193	1.517144329
194	1.516910112
195	1.516747524
196	1.516523062
197	1.516460872
198	1.516392109
199	1.5161792
200	1.51604716
201	1.51586555
202	1.515709017
203	1.515627356
204	1.515474856
205	1.515224243
206	1.515008556
207	1.514912235
208	1.514757674
209	1.514576835
210	1.514363255
211	1.514319274
212	1.51421575
213	1.514023606
214	1.513794696
215	1.513653237
216	1.513487246
217	1.513349028
218	1.513164972
219	1.513031646
220	1.512912683
221	1.512829546
222	1.512686351
223	1.51240723
224	1.512215737
225	1.512158671
226	1.512078726
227	1.511884143
228	1.511657423
229	1.511532799
230	1.511365634
231	1.511158181
232	1.510914837
233	1.510811972
234	1.510763486
235	1.510569504
236	1.510426519
237	1.510294902
238	1.510149399
239	1.50995809
240	1.509801035
241	1.509687979
242	1.509611326
243	1.509495004
244	1.509314509
245	1.509223498
246	1.509102005
247	1.508898751
248	1.508737155
249	1.508549041
250	1.508301945
251	1.508083806
252	1.507948696
253	1.507686615
254	1.507559045
255	1.5074364
256	1.507313337
257	1.507248482
258	1.507000491
259	1.506738666
260	1.506514369
261	1.506345805
262	1.506253571
263	1.506090225
264	1.505927396
265	1.505881171
266	1.505817314
267	1.505671675
268	1.505534435
269	1.505469788
270	1.505348546
271	1.505253969
272	1.505099237
273	1.50501809
274	1.504900719
275	1.504839305
276	1.504753445
277	1.504502908
278	1.504367693
279	1.504249871
280	1.50414254
281	1.50409125
282	1.503987842
283	1.503861768
284	1.503654602
285	1.503558193
286	1.503400282
287	1.503309372
288	1.503127831
289	1.502970687
290	1.502896521
291	1.50265685
292	1.502604141
293	1.502426215
294	1.502286743
295	1.502145578
296	1.50197719
297	1.501872157
298	1.501718805
299	1.501536334
300	1.501478231
301	1.501389696
302	1.501244823
303	1.501138826
304	1.501050381
305	1.500916116
306	1.500857783
307	1.500730593
308	1.500637276
309	1.50051176
310	1.500453052
311	1.500328637
312	1.500265525
313	1.50013163
314	1.500025831
315	1.499765687
316	1.499533771
317	1.499369726
318	1.499251649
319	1.499131887
320	1.498990295
321	1.498782275
322	1.49863888
323	1.498501488
324	1.498369615
325	1.498274162
326	1.498051048
327	1.497899634
328	1.49776732
329	1.497589032
330	1.497542823
331	1.497410197
332	1.49722451
333	1.497142923
334	1.497073161
335	1.49691577
336	1.496783265
337	1.496702288
338	1.496594368
339	1.496384127
340	1.496285862
341	1.496104326
342	1.495954534
343	1.495868774
344	1.495778592
345	1.495561222
346	1.495440747
347	1.495349838
348	1.495249779
349	1.495143502
350	1.495039088
351	1.494951446
352	1.494919947
353	1.494746973
354	1.494593421
355	1.494538317
356	1.494397362
357	1.494316954
358	1.494268501
359	1.494150084
360	1.494062586
361	1.493945914
362	1.493772329
363	1.493681022
364	1.493535412
365	1.49346855
366	1.493327673
367	1.49321508
368	1.493119563
369	1.493025091
370	1.492871021
371	1.492733229
372	1.49264457
373	1.492498727
374	1.492416989
375	1.492290358
376	1.492195196
377	1.492124701
378	1.49205811
379	1.49193817
380	1.491846469
381	1.491798886
382	1.491694142
383	1.491500881
384	1.491356147
385	1.491276934
386	1.491175171
387	1.490998516
388	1.490823438
389	1.490696039
390	1.490651502
391	1.490558642
392	1.490467136
393	1.490398428
394	1.490233709
395	1.490072347
396	1.489958418
397	1.489883015
398	1.489803786
399	1.489694652
400	1.489580462
401	1.489483873
402	1.489316622
403	1.489218427
404	1.48910225
405	1.488918958
406	1.4887987
407	1.488697516
408	1.48857676
409	1.488485364
410	1.488382776
411	1.4882687
412	1.488155938
413	1.488035711
414	1.487947239
415	1.487819727
416	1.487659458
417	1.487555332
418	1.487414294
419	1.487277484
420	1.487119471
421	1.48698411
422	1.486834455
423	1.486740934
424	1.486651429
425	1.486529483
426	1.486318914
427	1.486207596
428	1.486140912
429	1.485989437
430	1.4858721
431	1.485769185
432	1.485624636
433	1.485544594
434	1.485493027
435	1.485412262
436	1.485350908
437	1.485257591
438	1.485106326
439	1.484993586
440	1.484915189
441	1.484846501
442	1.484748608
443	1.484634963
444	1.484483951
445	1.484361592
446	1.484276284
447	1.484162939
448	1.484023283
449	1.483950595
450	1.48383583
451	1.483774655
452	1.483661025
453	1.483525356
454	1.483412056
455	1.483301433
456	1.483186342
457	1.48301907
458	1.482904838
459	1.482858883
460	1.482705335
461	1.482606396
462	1.482456662
463	1.482372775
464	1.482308845
465	1.482165789
466	1.482100799
467	1.481927303
468	1.481841214
469	1.481584236
470	1.481445432
471	1.481338088
472	1.481256709
473	1.481170277
474	1.481083357
475	1.48097362
476	1.480876456
477	1.480773359
478	1.480630341
479	1.480521038
480	1.480374155
481	1.480304108
482	1.480176229
483	1.480093778
484	1.479969663
485	1.47984499
486	1.479762722
487	1.479639115
488	1.479528101
489	1.479415113
490	1.479313909
491	1.479196135
492	1.479110475
493	1.478969061
494	1.478869332
495	1.478758346
496	1.478629708
497	1.4785433
498	1.478451591
499	1.478416709
500	1.478309527
501	1.478244195
502	1.478167343
503	1.478097421
504	1.477958102
505	1.477827414
506	1.477721241
507	1.477622371
508	1.477523336
509	1.477405513
510	1.477316
511	1.477219026
512	1.47712458
513	1.477065884
514	1.476946752
515	1.476851552
516	1.476725186
517	1.476604703
518	1.476462114
519	1.476392386
520	1.476264071
521	1.476142559
522	1.475976112
523	1.475821736
524	1.475765522
525	1.475680696
526	1.475585395
527	1.475509949
528	1.475465729
529	1.475416155
530	1.475322402
531	1.475242713
532	1.475087995
533	1.474944806
534	1.474876203
535	1.47477888
536	1.474709559
537	1.474577638
538	1.474458568
539	1.474309629
540	1.474189825
541	1.474116243
542	1.47398905
543	1.473938721
544	1.473796451
545	1.473723704
546	1.473671864
547	1.473626418
548	1.473557472
549	1.473439066
550	1.473346956
551	1.473231288
552	1.473144643
553	1.473063101
554	1.472900937
555	1.472793963
556	1.472710199
557	1.472599042
558	1.472540786
559	1.472366181
560	1.47228614
561	1.472205023
562	1.472123398
563	1.471995229
564	1.47191176
565	1.471809986
566	1.471670593
567	1.471543094
568	1.471388525
569	1.471305415
570	1.471207624
571	1.471155341
572	1.47101878
573	1.470872937
574	1.470747507
575	1.470606088
576	1.470529137
577	1.470447822
578	1.470361804
579	1.470270156
580	1.470238212
581	1.470175083
582	1.470027873
583	1.469907653
584	1.469787134
585	1.469717881
586	1.469645879
587	1.469579586
588	1.46949166
589	1.469373805
590	1.469261789
591	1.469195718
592	1.46910909
593	1.469014862
594	1.468964582
595	1.468826184
596	1.468735886
597	1.468621859
598	1.468504438
599	1.468432162
600	1.468376545
601	1.468270894
602	1.468200249
603	1.468115101
604	1.468084716
605	1.468005022
606	1.467885492
607	1.467744919
608	1.467611182
609	1.467493991
610	1.467342477
611	1.467233062
612	1.467155397
613	1.467055395
614	1.466978174
615	1.466885982
616	1.466808215
617	1.466699404
618	1.466595958
619	1.466449359
620	1.466340287
621	1.466261956
622	1.466163805
623	1.466024409
624	1.465918528
625	1.465761141
626	1.465683626
627	1.465554873
628	1.465471665
629	1.46536709
630	1.465251912
631	1.465175332
632	1.465064403
633	1.464889148
634	1.464763017
635	1.464616818
636	1.464491847
637	1.464403889
638	1.464315024
639	1.46420188
640	1.464098655
641	1.463986725
642	1.463861893
643	1.463782303
644	1.463693764
645	1.463563581
646	1.46348909
647	1.463404992
648	1.463355513
649	1.46326781
650	1.463174259
651	1.463032942
652	1.462945958
653	1.462894734
654	1.462773079
655	1.462656311
656	1.462577301
657	1.462497039
658	1.462417563
659	1.462325199
660	1.462243784
661	1.462125653
662	1.462007123
663	1.461910573
664	1.461849403
665	1.461762308
666	1.461686933
667	1.461617868
668	1.461551869
669	1.461461264
670	1.461362946
671	1.461239439
672	1.461164348
673	1.461065678
674	1.460971691
675	1.460851462
676	1.460797734
677	1.460724071
678	1.460590921
679	1.460509481
680	1.460414592
681	1.460325692
682	1.460260218
683	1.460166089
684	1.460048423
685	1.459944348
686	1.459841338
687	1.459715254
688	1.459689255
689	1.459609342
690	1.459499799
691	1.459395247
692	1.459329167
693	1.459235536
694	1.459159102
695	1.459076075
696	1.458990028
697	1.458909488
698	1.458775655
699	1.458713938
700	1.458667756
701	1.458600054
702	1.458562701
703	1.458480255
704	1.458336103
705	1.458237027
706	1.458157658
707	1.458042053
708	1.457921077
709	1.457842524
710	1.457746077
711	1.457642043
712	1.457507462
713	1.457419315
714	1.45732339
715	1.457278334
716	1.457193512
717	1.457108744
718	1.457010709
719	1.456912574
720	1.456865534
721	1.456787844
722	1.456627738
723	1.456525083
724	1.456420454
725	1.456330879
