iter	Passed	Remaining
0	185	185710
1	288	143986
2	387	128696
3	491	122411
4	594	118272
5	698	115666
6	794	112720
7	895	111004
8	1001	110295
9	1102	109109
10	1201	108065
11	1308	107700
12	1411	107128
13	1505	106025
14	1612	105862
15	1720	105781
16	1823	105414
17	1926	105075
18	2030	104816
19	2168	106271
20	2276	106123
21	2380	105834
22	2479	105342
23	2596	105599
24	2704	105477
25	2829	105987
26	2948	106271
27	3063	106338
28	3179	106462
29	3283	106177
30	3393	106084
31	3499	105865
32	3604	105631
33	3725	105850
34	3827	105541
35	3929	105215
36	4040	105154
37	4158	105264
38	4260	104978
39	4368	104832
40	4475	104682
41	4586	104605
42	4696	104520
43	4813	104573
44	4911	104224
45	5029	104310
46	5130	104038
47	5240	103931
48	5354	103917
49	5465	103850
50	5571	103678
51	5684	103628
52	5783	103330
53	5900	103360
54	6017	103392
55	6129	103322
56	6236	103171
57	6352	103179
58	6456	102974
59	6564	102838
60	6671	102698
61	6792	102767
62	6903	102673
63	7018	102639
64	7125	102504
65	7235	102390
66	7344	102272
67	7455	102182
68	7555	101940
69	7671	101920
70	7774	101731
71	7894	101747
72	7990	101466
73	8102	101391
74	8215	101323
75	8340	101399
76	8459	101406
77	8572	101331
78	8692	101335
79	8809	101306
80	8907	101060
81	9019	100978
82	9138	100967
83	9238	100748
84	9297	100080
85	9417	100090
86	9529	100000
87	9650	100017
88	9758	99891
89	9859	99693
90	9975	99643
91	10094	99627
92	10160	99089
93	10265	98944
94	10381	98900
95	10484	98732
96	10595	98632
97	10707	98549
98	10829	98562
99	10951	98564
100	11059	98437
101	11175	98392
102	11292	98341
103	11396	98187
104	11512	98127
105	11620	98007
106	11730	97899
107	11858	97944
108	11968	97834
109	12098	97887
110	12209	97783
111	12328	97749
112	12440	97651
113	12556	97586
114	12657	97405
115	12784	97422
116	12903	97381
117	13030	97394
118	13165	97471
119	13293	97487
120	13424	97522
121	13549	97515
122	13682	97559
123	13812	97577
124	13935	97548
125	14072	97617
126	14197	97597
127	14323	97581
128	14438	97487
129	14557	97425
130	14670	97321
131	14776	97164
132	14897	97112
133	15012	97024
134	15140	97011
135	15249	96882
136	15375	96855
137	15495	96788
138	15612	96707
139	15731	96638
140	15850	96565
141	15971	96501
142	16077	96355
143	16203	96322
144	16317	96215
145	16433	96127
146	16552	96051
147	16680	96025
148	16814	96036
149	16926	95917
150	17030	95754
151	17147	95667
152	17266	95585
153	17386	95515
154	17500	95407
155	17602	95236
156	17732	95214
157	17840	95074
158	17958	94986
159	18083	94937
160	18203	94863
161	18316	94747
162	18423	94605
163	18546	94542
164	18673	94499
165	18782	94363
166	18897	94262
167	19017	94183
168	19132	94078
169	19238	93928
170	19349	93806
