iter	MultiClass
0	2.255106037
1	2.155357153
2	2.077502254
3	2.015699567
4	1.964906887
5	1.924732463
6	1.89033016
7	1.8600678
8	1.835071243
9	1.813055671
10	1.795492493
11	1.778934359
12	1.764276268
13	1.752524832
14	1.741542372
15	1.73136749
16	1.722889835
17	1.715205603
18	1.708761924
19	1.703411714
20	1.697899688
21	1.693394218
22	1.68870558
23	1.684515349
24	1.680193991
25	1.677224288
26	1.674365756
27	1.671092372
28	1.6679403
29	1.665679483
30	1.662990445
31	1.660503207
32	1.658537291
33	1.656771032
34	1.654867511
35	1.652938535
36	1.651362751
37	1.649875226
38	1.648316279
39	1.647116007
40	1.645697721
41	1.644227649
42	1.643249855
43	1.642112286
44	1.640990095
45	1.639750417
46	1.638690576
47	1.637476743
48	1.636181653
49	1.63545213
50	1.634790795
51	1.63390948
52	1.63321799
53	1.632429636
54	1.6317566
55	1.630919448
56	1.6300118
57	1.629349115
58	1.628373119
59	1.627536068
60	1.626820635
61	1.626363012
62	1.625630889
63	1.624942696
64	1.624414284
65	1.623970824
66	1.623532239
67	1.623113483
68	1.622275125
69	1.621758818
70	1.621266236
71	1.620831479
72	1.620381229
73	1.619912129
74	1.619551495
75	1.619298532
76	1.61896487
77	1.618505839
78	1.618007973
79	1.617529159
80	1.617024243
81	1.616496907
82	1.616069301
83	1.615729652
84	1.615260015
85	1.614815688
86	1.61433928
87	1.613769256
88	1.6133002
89	1.612893307
90	1.612473178
91	1.612042529
92	1.611603132
93	1.611212122
94	1.610797588
95	1.61038137
96	1.610062168
97	1.609398054
98	1.608939141
99	1.608721677
100	1.60850732
101	1.607988727
102	1.607692596
103	1.607369298
104	1.607176738
105	1.606911891
106	1.606613463
107	1.606408302
108	1.606129024
109	1.60584379
110	1.605491143
111	1.605184404
112	1.604737697
113	1.604486673
114	1.604302632
115	1.603898651
116	1.603587033
117	1.603355026
118	1.603055432
119	1.602744895
120	1.602466573
121	1.602188101
122	1.601962547
123	1.601717484
124	1.601424399
125	1.601115449
126	1.600921498
127	1.600628761
128	1.600370469
129	1.600188396
130	1.599773854
131	1.599532776
132	1.599381516
133	1.599204471
134	1.598978923
135	1.59868428
136	1.598369277
137	1.597992627
138	1.597788457
139	1.597444731
140	1.597146589
141	1.596934952
142	1.596713166
143	1.596431485
144	1.596108743
145	1.595873498
146	1.595707984
147	1.59550891
148	1.595258009
149	1.595031215
150	1.594666322
151	1.594433438
152	1.594071844
153	1.593837898
154	1.59357404
155	1.593342081
156	1.593089324
157	1.592842697
158	1.592656538
159	1.592323098
160	1.591991255
161	1.591544273
162	1.591289445
163	1.591066515
164	1.590836629
165	1.590689999
166	1.59048971
167	1.590346703
168	1.590065126
169	1.589697033
170	1.589478813
171	1.589212857
172	1.588957436
173	1.588709376
174	1.588485953
175	1.588338778
176	1.588180284
177	1.587834715
178	1.587592408
179	1.587232467
180	1.586997675
181	1.586810152
182	1.586621258
183	1.586460392
184	1.586215806
185	1.585960508
186	1.585709876
187	1.58547093
188	1.585247712
189	1.58504473
190	1.584863007
191	1.58462389
192	1.584352201
193	1.58406537
194	1.583829128
195	1.583713287
196	1.583471639
197	1.583231459
198	1.5831172
199	1.58278992
200	1.582598085
201	1.582431553
202	1.582288271
203	1.581972782
204	1.5818188
205	1.581662807
206	1.581395114
207	1.581211385
208	1.581058178
209	1.58081463
210	1.580609196
211	1.580436104
212	1.580243771
213	1.580038186
214	1.579832434
215	1.579679625
216	1.579435319
217	1.579220736
218	1.578991235
219	1.578666412
220	1.578470508
221	1.578166607
222	1.578027621
223	1.577823321
224	1.577553386
225	1.57738902
226	1.577149917
227	1.57697863
228	1.576768334
229	1.576597814
230	1.576427198
231	1.576310236
232	1.576201165
233	1.576010589
234	1.575812992
235	1.575586786
236	1.575424056
237	1.575216978
238	1.575015983
239	1.574835237
240	1.574721309
241	1.574576848
242	1.574484035
243	1.574363615
244	1.574196275
245	1.574013233
246	1.57388248
247	1.573641639
248	1.573414881
249	1.573222007
250	1.57304615
251	1.572777658
252	1.572556428
253	1.572349414
254	1.57221468
255	1.572074686
256	1.571948738
257	1.571715112
258	1.571604387
259	1.571474869
260	1.571347254
261	1.571162581
262	1.571066782
263	1.570893943
264	1.570592603
265	1.570451589
266	1.570286925
267	1.570082963
268	1.56990578
269	1.569778025
270	1.569538808
271	1.5693806
272	1.569253782
273	1.569112406
274	1.568997225
275	1.568863872
276	1.56872384
277	1.568552379
278	1.568408738
279	1.568207356
280	1.568007755
281	1.567815422
282	1.567711062
283	1.567553555
284	1.567390497
285	1.567225551
286	1.567059544
287	1.566905797
288	1.566740908
289	1.566478555
290	1.56633958
291	1.566165791
292	1.566047438
293	1.565843708
294	1.565689301
295	1.565524046
296	1.565374839
297	1.565234037
298	1.565093404
299	1.564897552
300	1.564745147
301	1.564641344
302	1.564503007
303	1.564349578
304	1.564198409
305	1.564039981
306	1.563883358
307	1.563636909
308	1.563498624
309	1.563331267
310	1.563200174
311	1.563074029
312	1.562907406
313	1.562740304
314	1.562640587
315	1.562525735
316	1.562436473
317	1.562325402
318	1.562181714
319	1.562025807
320	1.561829267
321	1.561712048
322	1.561496085
323	1.5613267
324	1.56118908
325	1.561074856
326	1.560942022
327	1.560835354
328	1.560689713
329	1.560537686
330	1.560384347
331	1.560217368
332	1.560121875
333	1.559988824
334	1.559810079
335	1.559609134
336	1.559439598
337	1.559264383
338	1.559091728
339	1.558974496
340	1.558834158
341	1.558652186
342	1.558503355
343	1.558398928
344	1.558245852
345	1.558030507
346	1.557862453
347	1.557723485
348	1.55754356
349	1.55742674
350	1.557277055
351	1.557084885
352	1.556960644
353	1.556802227
354	1.55660173
355	1.556512769
356	1.556304268
357	1.556200138
358	1.556070725
359	1.556006796
360	1.55587042
361	1.555723322
362	1.55559035
363	1.555451536
364	1.555206652
365	1.555094434
366	1.554973026
367	1.554829293
368	1.554681727
369	1.554588457
370	1.554449426
371	1.554323889
372	1.554242347
373	1.554121136
374	1.5539932
375	1.55383532
376	1.553707411
377	1.553542136
378	1.553345717
379	1.55316979
380	1.553078432
381	1.552965976
382	1.552841205
383	1.552727058
384	1.552496982
385	1.552271761
386	1.552077004
387	1.551961248
388	1.551842182
389	1.551613422
390	1.551473307
391	1.551350616
392	1.551231534
393	1.551079492
394	1.550952906
395	1.550829583
396	1.550685408
397	1.550463834
398	1.550327511
399	1.550186717
400	1.550094477
401	1.549997127
402	1.549823696
403	1.549729987
404	1.549601973
405	1.549480558
406	1.549335651
407	1.549205707
408	1.549121873
409	1.549045636
410	1.548859
411	1.548760106
412	1.54864285
413	1.548538879
414	1.548425523
415	1.548308348
416	1.548152821
417	1.548023633
418	1.547928728
419	1.547715253
420	1.547562337
421	1.547382757
422	1.547273821
423	1.547165231
424	1.547044898
425	1.546928476
426	1.546774943
427	1.546685988
428	1.546590467
429	1.546406451
430	1.546307811
431	1.546162683
432	1.545992092
433	1.545885685
434	1.545754094
435	1.545682041
436	1.545532227
437	1.545388264
438	1.545297491
439	1.54522213
440	1.545079456
441	1.544947288
442	1.544794034
443	1.544703913
444	1.544588852
445	1.544487401
446	1.544312034
447	1.544195093
448	1.54408075
449	1.543965942
450	1.543794269
451	1.543640613
452	1.543488744
453	1.54337174
454	1.543234518
455	1.543137055
456	1.543062257
457	1.542951235
458	1.542782169
459	1.54266898
460	1.542506636
461	1.54243721
462	1.542346755
463	1.542236629
464	1.542045347
465	1.541886254
466	1.541740256
467	1.541588983
468	1.541378419
469	1.541237577
470	1.541163939
471	1.541045178
472	1.540970977
473	1.540900013
474	1.540803028
475	1.540682387
476	1.540557875
477	1.540462652
478	1.540345025
479	1.540170355
480	1.540089771
481	1.539972214
482	1.539823834
483	1.539684581
484	1.539553726
485	1.539433028
486	1.539263789
487	1.539181988
488	1.539100412
489	1.538980533
490	1.538914394
491	1.53882098
492	1.53868312
493	1.53856659
494	1.538435758
495	1.538300619
496	1.538183063
497	1.538096095
498	1.537917552
499	1.537780448
500	1.5375709
501	1.537501837
502	1.537441966
503	1.537315501
504	1.537201632
505	1.537094313
506	1.536974444
507	1.536894245
508	1.536801788
509	1.536676381
510	1.536586888
511	1.536455352
512	1.536318344
513	1.536133338
514	1.536020578
515	1.535903978
516	1.53577812
517	1.535605584
518	1.535514944
519	1.535384071
