iter	Passed	Remaining
0	192	191947
1	308	153928
2	417	138847
3	527	131265
4	640	127534
5	751	124523
6	856	121513
7	980	121611
8	1095	120625
9	1210	119862
10	1323	119025
11	1440	118619
12	1561	118572
13	1664	117193
14	1771	116351
15	1883	115851
16	2008	116110
17	2126	116015
18	2232	115279
19	2360	115643
20	2484	115825
21	2591	115186
22	2701	114769
23	2823	114842
24	2928	114209
25	3057	114552
26	3188	114894
27	3296	114452
28	3415	114372
29	3543	114566
30	3671	114764
31	3788	114596
32	3899	114264
33	4015	114075
34	4138	114092
35	4261	114111
36	4404	114623
37	4556	115346
38	4686	115481
39	4801	115246
40	4904	114723
41	5040	114974
42	5148	114574
43	5274	114606
44	5407	114752
45	5525	114603
46	5670	114969
47	5791	114863
48	5913	114772
49	6048	114930
50	6186	115111
51	6320	115226
52	6444	115157
53	6570	115113
54	6684	114844
55	6799	114616
56	6916	114430
57	7051	114522
58	7185	114608
59	7304	114436
60	7411	114090
61	7544	114137
62	7666	114016
63	7799	114062
64	7930	114082
65	8044	113839
66	8171	113794
67	8282	113520
68	8399	113338
69	8538	113446
70	8664	113367
71	8775	113109
72	8891	112905
73	9005	112696
74	9116	112431
75	9234	112271
76	9350	112089
77	9478	112040
78	9609	112025
79	9718	111767
80	9848	111737
81	9978	111707
82	10110	111703
83	10224	111491
84	10345	111361
85	10461	111186
86	10579	111027
87	10703	110923
88	10829	110854
89	10956	110787
90	11082	110706
91	11195	110491
92	11312	110329
93	11446	110323
94	11568	110202
95	11701	110187
96	11823	110069
97	11938	109881
98	12048	109652
99	12181	109636
100	12314	109609
101	12445	109572
102	12562	109402
103	12684	109283
104	12807	109172
105	12926	109023
106	13041	108843
107	13164	108732
108	13294	108671
109	13401	108428
110	13526	108331
111	13651	108233
112	13757	107990
113	13869	107795
114	13998	107727
115	14114	107564
116	14235	107433
117	14354	107292
118	14464	107084
119	14583	106943
120	14714	106893
121	14828	106719
122	14964	106699
123	15086	106580
124	15202	106417
125	15313	106222
126	15444	106168
127	15547	105915
128	15673	105827
129	15787	105657
130	15904	105506
131	16033	105435
132	16163	105368
133	16270	105152
134	16402	105096
135	16513	104911
136	16648	104872
137	16761	104696
138	16882	104577
139	17011	104496
140	17119	104293
141	17238	104161
142	17371	104105
143	17488	103959
144	17598	103768
145	17711	103602
146	17825	103437
147	17942	103288
148	18068	103196
149	18192	103091
150	18316	102984
151	18441	102885
152	18556	102725
153	18673	102582
154	18808	102534
155	18926	102395
156	19052	102298
157	19191	102272
158	19319	102188
159	19452	102126
160	19572	101996
161	19692	101865
162	19810	101726
163	19926	101577
164	20035	101393
165	20155	101261
166	20283	101173
167	20417	101117
168	20547	101033
169	20680	100967
170	20793	100804
171	20918	100700
172	21048	100617
173	21179	100542
174	21301	100421
175	21429	100330
176	21574	100317
177	21715	100283
178	21833	100139
179	21959	100036
180	22087	99945
181	22196	99764
182	22332	99703
183	22452	99569
184	22560	99389
185	22678	99250
186	22792	99094
187	22914	98971
188	23040	98867
189	23158	98729
190	23280	98606
191	23395	98454
192	23515	98328
193	23649	98254
194	23773	98143
195	23889	97996
196	24001	97834
197	24121	97704
198	24250	97610
199	24369	97477
200	24493	97363
201	24611	97229
202	24743	97144
203	24878	97074
204	24993	96924
205	25114	96800
206	25228	96648
207	25363	96576
208	25498	96503
209	25622	96387
210	25747	96278
211	25871	96162
212	25990	96028
213	26116	95923
214	26245	95826
215	26370	95713
216	26497	95611
217	26621	95495
